node,gpu_number,GPU,gpu_utilization,pod_name,pod_type,project,namespace,user_team,start,finish,pod_type_color,project_color
gpu-server01,1,gpu-server01:1,70.4511422222222,violet-run-pipeline-gpu-w5kwp-2895921023,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-12-19 08:45:00+09:00,2023-12-19 20:00:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,1,gpu-server01:1,0.0,violet-run-pipeline-gpu-8fz2m-3120019794,task,PROJECT_1,ns-16904458533318198,TEAM_2,2023-12-20 15:00:00+09:00,2023-12-20 16:30:00+09:00,red,"(1.0, 0.0, 0.0, 1.0)"
gpu-server01,1,gpu-server01:1,69.29213541528249,violet-run-pipeline-gpu-9tnd8-1865815998,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-12-27 14:30:00+09:00,2024-01-12 06:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,1,gpu-server01:1,54.330018181818176,violet-run-pipeline-gpu-l9s84-913604121,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-12 23:45:00+09:00,2024-01-13 02:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,1,gpu-server01:1,48.65993649425284,violet-run-pipeline-gpu-xxzhb-877654433,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-13 02:45:00+09:00,2024-01-16 17:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,1,gpu-server01:1,25.991276666666657,violet-run-pipeline-gpu-7w4v6-2132514135,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-16 18:15:00+09:00,2024-01-17 09:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,1,gpu-server01:1,30.360780000000002,violet-run-pipeline-gpu-6dfwt-2996314336,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-17 13:00:00+09:00,2024-01-17 15:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,1,gpu-server01:1,37.608799999999995,violet-run-pipeline-gpu-94zlb-89947544,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-18 17:00:00+09:00,2024-01-18 20:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,1,gpu-server01:1,98.5456185303516,violet-run-pipeline-gpu-gcfvp-3319408383,task,PROJECT_17,ns-16904374776309414,TEAM_3,2024-01-19 10:30:00+09:00,2024-02-08 00:00:00+09:00,red,"(0.29545293465748007, 0.0, 1.0, 1.0)"
gpu-server01,2,gpu-server01:2,0.0,pytorch-cnn-dist-job-2023-07-25-11-07-24-206-worker-0,,PROJECT_18,ns-16872230390169597,,2023-11-08 21:15:00+09:00,2024-01-12 06:45:00+09:00,grey,"(0.563919112214567, 0.0, 1.0, 1.0)"
gpu-server01,2,gpu-server01:2,50.55764545454546,violet-run-pipeline-gpu-l9s84-913604121,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-12 23:45:00+09:00,2024-01-13 02:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,2,gpu-server01:2,46.707529310344846,violet-run-pipeline-gpu-xxzhb-877654433,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-13 02:45:00+09:00,2024-01-16 17:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,2,gpu-server01:2,23.09979666666666,violet-run-pipeline-gpu-7w4v6-2132514135,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-16 18:15:00+09:00,2024-01-17 09:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,2,gpu-server01:2,31.905320000000007,violet-run-pipeline-gpu-6dfwt-2996314336,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-17 13:00:00+09:00,2024-01-17 15:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,2,gpu-server01:2,87.92954615384615,violet-run-pipeline-gpu-tmdkg-1992501200,task,PROJECT_15,ns-1690441020642881,TEAM_2,2024-01-29 10:30:00+09:00,2024-01-29 13:45:00+09:00,red,"(0.0, 0.24147942045669324, 1.0, 1.0)"
gpu-server01,2,gpu-server01:2,92.79981511111107,violet-run-pipeline-gpu-xrl69-3799078920,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-29 15:00:00+09:00,2024-02-08 00:00:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,70.84213703703708,violet-run-pipeline-gpu-mzxmw-1728086594,task,PROJECT_17,ns-16904374776309414,TEAM_3,2023-11-09 16:30:00+09:00,2023-11-10 12:45:00+09:00,red,"(0.29545293465748007, 0.0, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,0.0,violet-run-pipeline-gpu-sbk8h-2282085431,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-11-11 16:00:00+09:00,2023-11-11 16:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,0.0,violet-run-pipeline-gpu-fsvst-120632241,task,PROJECT_17,ns-16904374776309414,TEAM_3,2023-11-11 22:15:00+09:00,2023-11-12 13:45:00+09:00,red,"(0.29545293465748007, 0.0, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,100.0,violet-run-pipeline-gpu-b7kcj-3614906754,task,PROJECT_1,ns-16904458533318198,TEAM_2,2023-11-13 11:15:00+09:00,2023-11-13 14:45:00+09:00,red,"(1.0, 0.0, 0.0, 1.0)"
gpu-server01,3,gpu-server01:3,0.0,violet-run-pipeline-gpu-jk789-511130492,task,PROJECT_1,ns-16904458533318198,,2023-11-13 15:30:00+09:00,2023-11-14 09:30:00+09:00,red,"(1.0, 0.0, 0.0, 1.0)"
gpu-server01,3,gpu-server01:3,0.17353333333333332,violet-run-pipeline-gpu-2g9n4-268950333,task,PROJECT_1,ns-16904458533318198,TEAM_2,2023-11-14 10:45:00+09:00,2023-11-14 14:30:00+09:00,red,"(1.0, 0.0, 0.0, 1.0)"
gpu-server01,3,gpu-server01:3,96.45448388059698,violet-run-pipeline-gpu-lwm5h-203195454,task,PROJECT_1,ns-16904458533318198,TEAM_2,2023-11-15 14:30:00+09:00,2023-11-22 14:00:00+09:00,red,"(1.0, 0.0, 0.0, 1.0)"
gpu-server01,3,gpu-server01:3,74.26258247422683,violet-run-pipeline-gpu-7kdt4-947760339,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-11-22 17:00:00+09:00,2023-11-23 17:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,92.0407025830259,violet-run-pipeline-gpu-hndcn-327083716,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-11-24 06:00:00+09:00,2023-11-29 21:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,0.0,violet-run-pipeline-gpu-kzhj4-3456783790,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-11-30 14:45:00+09:00,2023-12-04 07:00:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,0.0,violet-run-pipeline-gpu-twzkn-2040448825,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-12-04 09:15:00+09:00,2023-12-09 09:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,76.95327875000002,violet-run-pipeline-gpu-fc5k7-3174162485,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-12-11 17:00:00+09:00,2023-12-12 13:00:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,67.90341685823753,violet-run-pipeline-gpu-mrx4s-1484515517,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-12-16 07:30:00+09:00,2023-12-19 00:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,0.0,violet-run-pipeline-gpu-4vk2f-731439944,task,PROJECT_1,ns-16904458533318198,,2023-12-20 16:30:00+09:00,2023-12-21 11:00:00+09:00,red,"(1.0, 0.0, 0.0, 1.0)"
gpu-server01,3,gpu-server01:3,93.24583409563404,violet-run-pipeline-gpu-fftp4-1617571953,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-12-22 14:00:00+09:00,2023-12-27 14:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,73.26410666666665,violet-run-pipeline-gpu-lpcvm-2207421033,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-12-29 15:30:00+09:00,2023-12-30 06:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,75.16759537572254,violet-run-pipeline-gpu-7b2lh-267076134,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-08 16:15:00+09:00,2024-01-12 06:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,50.70654545454545,violet-run-pipeline-gpu-l9s84-913604121,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-12 23:45:00+09:00,2024-01-13 02:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,46.56752951219513,violet-run-pipeline-gpu-xxzhb-877654433,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-13 02:45:00+09:00,2024-01-17 09:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,27.574929411764707,violet-run-pipeline-gpu-zjp92-3873447848,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-17 11:15:00+09:00,2024-01-17 15:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,53.71728213935228,violet-run-pipeline-gpu-q82z8-427303108,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-18 17:00:00+09:00,2024-01-29 07:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,90.67656923076925,violet-run-pipeline-gpu-tmdkg-1992501200,task,PROJECT_15,ns-1690441020642881,TEAM_2,2024-01-29 10:30:00+09:00,2024-01-29 13:45:00+09:00,red,"(0.0, 0.24147942045669324, 1.0, 1.0)"
gpu-server01,3,gpu-server01:3,92.67705744444461,violet-run-pipeline-gpu-xrl69-3799078920,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-29 15:00:00+09:00,2024-02-08 00:00:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,4,gpu-server01:4,53.06604226265558,violet-run-pipeline-gpu-tdn9x-3826168464,task,PROJECT_17,ns-16904374776309414,TEAM_3,2023-11-08 21:15:00+09:00,2024-01-05 17:00:00+09:00,red,"(0.29545293465748007, 0.0, 1.0, 1.0)"
gpu-server01,4,gpu-server01:4,1.7026846938775508,violet-run-pipeline-gpu-5zs6m-2706812674,task,PROJECT_4,ns-16904413105821052,,2024-01-05 17:15:00+09:00,2024-01-06 17:45:00+09:00,red,"(1.0, 0.8053985326712598, 0.0, 1.0)"
gpu-server01,4,gpu-server01:4,28.231645238095247,violet-run-pipeline-gpu-n9rg4-229354915,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-12 08:00:00+09:00,2024-01-12 18:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,4,gpu-server01:4,51.919790909090906,violet-run-pipeline-gpu-l9s84-913604121,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-12 23:45:00+09:00,2024-01-13 02:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,4,gpu-server01:4,33.946933333333334,violet-run-pipeline-gpu-4vppl-989390375,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-16 10:30:00+09:00,2024-01-16 11:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,4,gpu-server01:4,8.981599999999998,violet-run-pipeline-gpu-g45q7-144219255,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-16 17:45:00+09:00,2024-01-16 18:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,4,gpu-server01:4,33.045336,violet-run-pipeline-gpu-8sq5w-318761477,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-17 09:15:00+09:00,2024-01-17 15:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,4,gpu-server01:4,53.61528125613352,violet-run-pipeline-gpu-q82z8-427303108,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-18 17:00:00+09:00,2024-01-29 07:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,4,gpu-server01:4,92.09024615384617,violet-run-pipeline-gpu-tmdkg-1992501200,task,PROJECT_15,ns-1690441020642881,TEAM_2,2024-01-29 10:30:00+09:00,2024-01-29 13:45:00+09:00,red,"(0.0, 0.24147942045669324, 1.0, 1.0)"
gpu-server01,4,gpu-server01:4,93.22599722222232,violet-run-pipeline-gpu-xrl69-3799078920,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-29 15:00:00+09:00,2024-02-08 00:00:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,5,gpu-server01:5,88.80132817643192,violet-run-pipeline-gpu-fcthj-1525357944,task,PROJECT_5,ns-1690440796148727,,2023-11-08 21:15:00+09:00,2023-11-24 17:00:00+09:00,red,"(0.9261352897716534, 1.0, 0.0, 1.0)"
gpu-server01,5,gpu-server01:5,96.75775852047558,violet-run-pipeline-gpu-mngfc-883818940,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-11-27 08:30:00+09:00,2023-12-05 05:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,5,gpu-server01:5,24.847087500000004,violet-run-pipeline-gpu-4tbc9-1774180843,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-12-05 08:45:00+09:00,2023-12-05 10:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,5,gpu-server01:5,0.0,violet-run-pipeline-gpu-t6dns-976891770,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-12-05 11:00:00+09:00,2023-12-05 12:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,5,gpu-server01:5,89.60891666666669,violet-run-pipeline-gpu-6kssc-4256735251,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-12-05 13:00:00+09:00,2023-12-05 19:00:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,5,gpu-server01:5,99.60076771361041,violet-run-pipeline-gpu-qx4cf-3764207183,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-12-05 20:45:00+09:00,2024-01-05 17:00:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,5,gpu-server01:5,1.8697908163265304,violet-run-pipeline-gpu-5zs6m-2706812674,task,PROJECT_4,ns-16904413105821052,,2024-01-05 17:15:00+09:00,2024-01-06 17:45:00+09:00,red,"(1.0, 0.8053985326712598, 0.0, 1.0)"
gpu-server01,5,gpu-server01:5,73.84327427745667,violet-run-pipeline-gpu-s45qr-2725211470,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-08 16:15:00+09:00,2024-01-12 06:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,5,gpu-server01:5,27.49711190476191,violet-run-pipeline-gpu-n9rg4-229354915,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-12 08:00:00+09:00,2024-01-12 18:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,5,gpu-server01:5,32.8864,violet-run-pipeline-gpu-4vppl-989390375,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-16 10:30:00+09:00,2024-01-16 11:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,5,gpu-server01:5,9.46815,violet-run-pipeline-gpu-g45q7-144219255,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-16 17:45:00+09:00,2024-01-16 18:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,5,gpu-server01:5,22.963526666666663,violet-run-pipeline-gpu-8sq5w-318761477,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-17 09:15:00+09:00,2024-01-17 13:00:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,5,gpu-server01:5,0.0,violet-run-pipeline-gpu-65995-2587903403,task,PROJECT_1,ns-16904458533318198,TEAM_2,2024-01-17 14:45:00+09:00,2024-01-17 15:15:00+09:00,red,"(1.0, 0.0, 0.0, 1.0)"
gpu-server01,5,gpu-server01:5,41.605986666666674,violet-run-pipeline-gpu-94zlb-89947544,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-18 17:00:00+09:00,2024-01-18 20:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,5,gpu-server01:5,98.5100840255589,violet-run-pipeline-gpu-gcfvp-3319408383,task,PROJECT_17,ns-16904374776309414,TEAM_3,2024-01-19 10:30:00+09:00,2024-02-08 00:00:00+09:00,red,"(0.29545293465748007, 0.0, 1.0, 1.0)"
gpu-server01,6,gpu-server01:6,0.0,violet-run-pipeline-gpu-q692j-3150263403,task,PROJECT_17,ns-16904374776309414,TEAM_3,2023-11-08 21:15:00+09:00,2023-11-10 11:30:00+09:00,red,"(0.29545293465748007, 0.0, 1.0, 1.0)"
gpu-server01,6,gpu-server01:6,0.0,violet-run-pipeline-gpu-t7dvb-3880253144,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-11-11 16:00:00+09:00,2023-11-11 16:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,6,gpu-server01:6,0.0,violet-run-pipeline-gpu-t8f9p-304554660,task,PROJECT_17,ns-16904374776309414,TEAM_3,2023-11-11 21:00:00+09:00,2023-11-11 22:15:00+09:00,red,"(0.29545293465748007, 0.0, 1.0, 1.0)"
gpu-server01,6,gpu-server01:6,3.370786516853932,violet-run-pipeline-gpu-b7kcj-3614906754,task,PROJECT_1,ns-16904458533318198,TEAM_2,2023-11-13 11:15:00+09:00,2023-11-14 09:30:00+09:00,red,"(1.0, 0.0, 0.0, 1.0)"
gpu-server01,6,gpu-server01:6,0.14134666666666662,violet-run-pipeline-gpu-2g9n4-268950333,task,PROJECT_1,ns-16904458533318198,TEAM_2,2023-11-14 10:45:00+09:00,2023-11-14 14:30:00+09:00,red,"(1.0, 0.0, 0.0, 1.0)"
gpu-server01,6,gpu-server01:6,22.79894195011327,violet-run-pipeline-gpu-xnpsz-830121636,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-11-14 14:45:00+09:00,2023-12-21 08:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,6,gpu-server01:6,92.77297775467784,violet-run-pipeline-gpu-fftp4-1617571953,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-12-22 14:00:00+09:00,2023-12-27 14:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,6,gpu-server01:6,52.45969235880401,violet-run-pipeline-gpu-9tnd8-1865815998,task,PROJECT_13,ns-16904409679649498,TEAM_1,2023-12-27 14:30:00+09:00,2024-01-12 06:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,6,gpu-server01:6,33.3306238095238,violet-run-pipeline-gpu-n9rg4-229354915,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-12 08:00:00+09:00,2024-01-12 18:30:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,6,gpu-server01:6,43.39233333333334,violet-run-pipeline-gpu-4vppl-989390375,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-16 10:30:00+09:00,2024-01-16 11:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,6,gpu-server01:6,8.71355,violet-run-pipeline-gpu-g45q7-144219255,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-16 17:45:00+09:00,2024-01-16 18:15:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,6,gpu-server01:6,36.11163333333333,violet-run-pipeline-gpu-8sq5w-318761477,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-17 09:15:00+09:00,2024-01-17 13:00:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,6,gpu-server01:6,0.0,violet-run-pipeline-gpu-zwk5k-2679731521,task,PROJECT_17,ns-16904374776309414,,2024-01-17 14:30:00+09:00,2024-01-17 14:45:00+09:00,red,"(0.29545293465748007, 0.0, 1.0, 1.0)"
gpu-server01,6,gpu-server01:6,42.30478,violet-run-pipeline-gpu-94zlb-89947544,task,PROJECT_13,ns-16904409679649498,TEAM_1,2024-01-18 17:00:00+09:00,2024-01-18 20:45:00+09:00,red,"(0.0, 0.7784117755708665, 1.0, 1.0)"
gpu-server01,6,gpu-server01:6,98.59221656017012,violet-run-pipeline-gpu-gcfvp-3319408383,task,PROJECT_17,ns-16904374776309414,TEAM_3,2024-01-19 10:30:00+09:00,2024-02-08 00:00:00+09:00,red,"(0.29545293465748007, 0.0, 1.0, 1.0)"
gpu-server01,7,gpu-server01:7,7.908286000000004,violet-run-pipeline-gpu-cqgld-154854302,task,PROJECT_17,ns-16904374776309414,TEAM_3,2023-11-08 21:15:00+09:00,2023-11-09 09:45:00+09:00,red,"(0.29545293465748007, 0.0, 1.0, 1.0)"
gpu-server01,7,gpu-server01:7,69.37933692946059,violet-run-pipeline-gpu-vxk4g-2272960119,task,PROJECT_17,ns-16904374776309414,,2023-11-09 16:30:00+09:00,2023-11-12 04:45:00+09:00,red,"(0.29545293465748007, 0.0, 1.0, 1.0)"
gpu-server01,7,gpu-server01:7,0.0,violet-run-pipeline-gpu-b7drh-3444738588,task,PROJECT_17,ns-16904374776309414,TEAM_3,2023-11-12 13:30:00+09:00,2023-11-12 13:45:00+09:00,red,"(0.29545293465748007, 0.0, 1.0, 1.0)"
